"cd_mun","cases","year_month"
"150520",0,"2021-03"
"150635",0,"2021-03"
"150795",0,"2021-03"
"150810",0,"2021-03"
"150010",0,"2021-02"
"150080",0.37,"2021-02"
"150110",0,"2021-02"
"150120",0,"2021-02"
"150130",0,"2021-02"
"150140",4.85,"2021-02"
"150150",0,"2021-02"
"150178",0,"2021-02"
"150210",0,"2021-02"
"150309",0,"2021-02"
"150330",0,"2021-02"
"150380",0,"2021-02"
"150400",0,"2021-02"
"150442",0.74,"2021-02"
"150460",3.13,"2021-02"
"150470",1.19,"2021-02"
"150506",40.77,"2021-02"
"150520",0,"2021-02"
"150635",0,"2021-02"
"150795",0.9,"2021-02"
"150810",0,"2021-02"
"150010",0,"2021-01"
"150080",0,"2021-01"
"150110",0,"2021-01"
"150120",0,"2021-01"
"150130",0,"2021-01"
"150140",4.78,"2021-01"
"150150",1.54,"2021-01"
"150178",0,"2021-01"
"150210",2.13,"2021-01"
"150309",0,"2021-01"
"150330",0,"2021-01"
"150380",1.65,"2021-01"
"150400",0,"2021-01"
"150442",0,"2021-01"
"150460",0,"2021-01"
"150470",0,"2021-01"
"150506",14.01,"2021-01"
"150520",0,"2021-01"
"150635",0,"2021-01"
"150795",0,"2021-01"
"150810",0,"2021-01"
"150010",0,"2020-12"
"150080",0,"2020-12"
"150110",0,"2020-12"
"150120",0,"2020-12"
"150130",0.79,"2020-12"
"150140",1.47,"2020-12"
"150150",0,"2020-12"
"150178",0,"2020-12"
"150210",0,"2020-12"
"150309",0,"2020-12"
"150330",0,"2020-12"
"150380",0,"2020-12"
"150400",0,"2020-12"
"150442",0,"2020-12"
"150460",0,"2020-12"
"150470",0,"2020-12"
"150506",0,"2020-12"
"150520",0,"2020-12"
"150635",0,"2020-12"
"150795",0,"2020-12"
"150810",0,"2020-12"
"150010",0,"2020-11"
"150080",0,"2020-11"
"150110",0,"2020-11"
"150120",0,"2020-11"
"150130",0,"2020-11"
"150140",1.27,"2020-11"
"150150",0,"2020-11"
"150178",0,"2020-11"
"150210",0,"2020-11"
"150309",0,"2020-11"
"150330",0,"2020-11"
"150380",0,"2020-11"
"150400",0,"2020-11"
"150442",0.75,"2020-11"
"150460",0,"2020-11"
"150470",0,"2020-11"
"150506",0,"2020-11"
"150520",0,"2020-11"
"150635",0,"2020-11"
"150795",0,"2020-11"
"150810",0,"2020-11"
"150010",0,"2020-10"
"150080",0,"2020-10"
"150110",0,"2020-10"
"150120",0,"2020-10"
"150130",0,"2020-10"
"150140",0,"2020-10"
"150150",0,"2020-10"
"150178",0,"2020-10"
"150210",0.72,"2020-10"
"150309",0,"2020-10"
"150330",1.59,"2020-10"
"150380",0,"2020-10"
"150400",0,"2020-10"
"150442",0.75,"2020-10"
"150460",0,"2020-10"
"150470",0,"2020-10"
"150506",0,"2020-10"
"150520",0,"2020-10"
"150635",0,"2020-10"
"150795",0,"2020-10"
"150810",0,"2020-10"
"150010",0,"2020-09"
"150080",0,"2020-09"
"150110",0,"2020-09"
"150120",0,"2020-09"
"150130",1.57,"2020-09"
"150140",0.4,"2020-09"
"150150",0,"2020-09"
"150178",0,"2020-09"
"150210",0,"2020-09"
"150309",0,"2020-09"
"150330",0,"2020-09"
"150380",1.67,"2020-09"
"150400",0,"2020-09"
"150442",0,"2020-09"
"150460",0,"2020-09"
"150470",0,"2020-09"
"150506",0,"2020-09"
"150520",0,"2020-09"
"150635",0,"2020-09"
"150795",0,"2020-09"
"150810",0,"2020-09"
"150010",0,"2020-08"
"150080",0,"2020-08"
"150110",0,"2020-08"
"150120",0,"2020-08"
"150130",0,"2020-08"
"150140",0.2,"2020-08"
"150150",0,"2020-08"
"150178",0,"2020-08"
"150210",0,"2020-08"
"150309",0,"2020-08"
"150330",0,"2020-08"
"150380",0,"2020-08"
"150400",0,"2020-08"
"150442",0.75,"2020-08"
"150460",0,"2020-08"
"150470",0,"2020-08"
"150506",0,"2020-08"
"150520",0,"2020-08"
"150635",0,"2020-08"
"150795",0,"2020-08"
"150810",0,"2020-08"
"150010",0,"2020-07"
"150080",0,"2020-07"
"150110",0,"2020-07"
"150120",0,"2020-07"
"150130",0,"2020-07"
"150140",0.07,"2020-07"
"150150",0,"2020-07"
"150178",0,"2020-07"
"150210",0,"2020-07"
"150309",0,"2020-07"
"150330",0,"2020-07"
"150380",1.67,"2020-07"
"150400",0,"2020-07"
"150442",0,"2020-07"
"150460",6.34,"2020-07"
"150470",0,"2020-07"
"150506",0,"2020-07"
"150520",0,"2020-07"
"150635",0,"2020-07"
"150795",0,"2020-07"
"150810",0,"2020-07"
"150010",0,"2020-06"
"150080",0,"2020-06"
"150110",0,"2020-06"
"150120",0,"2020-06"
"150130",0,"2020-06"
"150140",0.27,"2020-06"
"150150",0,"2020-06"
"150178",0,"2020-06"
"150210",0,"2020-06"
"150309",0,"2020-06"
"150330",0,"2020-06"
"150380",1.67,"2020-06"
"150400",0,"2020-06"
"150442",0,"2020-06"
"150460",0,"2020-06"
"150470",0,"2020-06"
"150506",0,"2020-06"
"150520",0,"2020-06"
"150635",0,"2020-06"
"150795",0,"2020-06"
"150810",0,"2020-06"
"150010",0,"2020-05"
"150080",0,"2020-05"
"150110",0,"2020-05"
"150120",0,"2020-05"
"150130",0,"2020-05"
"150140",0.2,"2020-05"
"150150",0,"2020-05"
"150178",0,"2020-05"
"150210",0,"2020-05"
"150309",0,"2020-05"
"150330",0,"2020-05"
"150380",8.36,"2020-05"
"150400",0,"2020-05"
"150442",0,"2020-05"
"150460",0,"2020-05"
"150470",0,"2020-05"
"150506",3.89,"2020-05"
"150520",0,"2020-05"
"150635",0,"2020-05"
"150795",0,"2020-05"
"150810",0,"2020-05"
"150010",0,"2020-04"
"150080",0.19,"2020-04"
"150110",0,"2020-04"
"150120",0,"2020-04"
"150130",0,"2020-04"
"150140",0.33,"2020-04"
"150150",0,"2020-04"
"150178",0,"2020-04"
"150210",1.44,"2020-04"
"150309",0,"2020-04"
"150330",0,"2020-04"
"150380",5.01,"2020-04"
"150400",0,"2020-04"
"150442",0,"2020-04"
"150460",12.69,"2020-04"
"150470",0,"2020-04"
"150506",6.48,"2020-04"
"150520",0,"2020-04"
"150635",0,"2020-04"
"150795",0.92,"2020-04"
"150810",0,"2020-04"
"150010",0.63,"2020-03"
"150080",0,"2020-03"
"150110",0,"2020-03"
"150120",0,"2020-03"
"150130",0,"2020-03"
"150140",1.4,"2020-03"
"150150",0,"2020-03"
"150178",1.49,"2020-03"
"150210",2.15,"2020-03"
"150309",0,"2020-03"
"150330",0,"2020-03"
"150380",0,"2020-03"
"150400",0,"2020-03"
"150442",0,"2020-03"
"150460",19.03,"2020-03"
"150470",0,"2020-03"
"150506",6.48,"2020-03"
"150520",0,"2020-03"
"150635",0,"2020-03"
"150795",0,"2020-03"
"150810",1.74,"2020-03"
"150010",1.89,"2020-02"
"150080",0,"2020-02"
"150110",0,"2020-02"
"150120",0,"2020-02"
"150130",0.79,"2020-02"
"150140",3.27,"2020-02"
"150150",0,"2020-02"
"150178",0,"2020-02"
"150210",5.74,"2020-02"
"150309",0,"2020-02"
"150330",3.17,"2020-02"
"150380",0,"2020-02"
"150400",0,"2020-02"
"150442",0,"2020-02"
"150460",3.17,"2020-02"
"150470",2.4,"2020-02"
"150506",16.84,"2020-02"
"150520",0,"2020-02"
"150635",0,"2020-02"
"150795",0,"2020-02"
"150810",0.87,"2020-02"
"150010",1.26,"2020-01"
"150080",0,"2020-01"
"150110",0,"2020-01"
"150120",0,"2020-01"
"150130",0,"2020-01"
"150140",3.93,"2020-01"
"150150",0,"2020-01"
"150178",1.49,"2020-01"
"150210",1.44,"2020-01"
"150309",0,"2020-01"
"150330",0,"2020-01"
"150380",0,"2020-01"
"150400",0,"2020-01"
"150442",0.75,"2020-01"
"150460",6.34,"2020-01"
"150470",0,"2020-01"
"150506",2.59,"2020-01"
"150520",0,"2020-01"
"150635",0,"2020-01"
"150795",0,"2020-01"
"150810",0.87,"2020-01"
"150010",0,"2019-12"
"150080",0,"2019-12"
"150110",0,"2019-12"
"150120",0,"2019-12"
"150130",0,"2019-12"
"150140",1.47,"2019-12"
"150150",0,"2019-12"
"150178",0,"2019-12"
"150210",0.73,"2019-12"
"150309",0,"2019-12"
"150330",0,"2019-12"
"150380",0,"2019-12"
"150400",0,"2019-12"
"150442",0,"2019-12"
"150460",0,"2019-12"
"150470",1.22,"2019-12"
"150506",0,"2019-12"
"150520",0,"2019-12"
"150635",0,"2019-12"
"150795",0,"2019-12"
"150810",0,"2019-12"
"150010",1.27,"2019-11"
"150080",0,"2019-11"
"150110",3.26,"2019-11"
"150120",0,"2019-11"
"150130",0,"2019-11"
"150140",1.07,"2019-11"
"150150",0,"2019-11"
"150178",1.51,"2019-11"
"150210",0,"2019-11"
"150309",0,"2019-11"
"150330",0,"2019-11"
"150380",0,"2019-11"
"150400",0,"2019-11"
"150442",0.76,"2019-11"
"150460",25.69,"2019-11"
"150470",0,"2019-11"
"150506",0,"2019-11"
"150520",0,"2019-11"
"150635",0,"2019-11"
"150795",0,"2019-11"
"150810",0.88,"2019-11"
"150010",0,"2019-10"
"150080",0,"2019-10"
"150110",0,"2019-10"
"150120",0,"2019-10"
"150130",0,"2019-10"
"150140",1.14,"2019-10"
"150150",0,"2019-10"
"150178",0,"2019-10"
"150210",0,"2019-10"
"150309",0,"2019-10"
"150330",0,"2019-10"
"150380",0,"2019-10"
"150400",0,"2019-10"
"150442",0,"2019-10"
"150460",16.06,"2019-10"
"150470",1.22,"2019-10"
"150506",0,"2019-10"
"150520",0,"2019-10"
"150635",0,"2019-10"
"150795",0,"2019-10"
"150810",0,"2019-10"
"150010",1.9,"2019-09"
"150080",0,"2019-09"
"150110",0,"2019-09"
"150120",0,"2019-09"
"150130",0,"2019-09"
"150140",0.6,"2019-09"
"150150",0,"2019-09"
"150178",0,"2019-09"
"150210",0,"2019-09"
"150309",0,"2019-09"
